animal_id,age,louvain,region
3K1,9.01,0,dlPFC
56R,14.95,0,dlPFC
56R,14.95,0,dlPFC
3D1,13.11,0,dlPFC
3D1,13.11,0,dlPFC
3T5,5.12,0,dlPFC
1G8,7.88,0,dlPFC
8H2,10.13,0,dlPFC
2T2,4.09,0,dlPFC
2T2,4.09,0,dlPFC
42T,15.96,0,dlPFC
42T,15.96,0,dlPFC
91O,15.86,0,dlPFC
6L4,8.2,0,dlPFC
41N,16.74,0,dlPFC
2I1,10.27,0,dlPFC
2V1,4.3,0,dlPFC
77V,16.15,0,dlPFC
0G3,9.1,0,dlPFC
0G3,9.1,0,dlPFC
0G3,9.1,0,dlPFC
82V,16.01,0,dlPFC
43N,17.0,0,dlPFC
43N,17.0,0,dlPFC
3E4,11.99,0,dlPFC
3E4,11.99,0,dlPFC
3E4,11.99,0,dlPFC
1P5,6.21,0,dlPFC
1P5,6.21,0,dlPFC
4S3,3.18,0,dlPFC
5H6,11.03,0,dlPFC
77V,16.15,0,dlPFC
77V,16.15,0,dlPFC
77V,16.15,0,dlPFC
6D9,13.11,0,dlPFC
8M0,8.12,0,dlPFC
56R,14.95,0,dlPFC
56R,14.95,0,dlPFC
56R,14.95,0,dlPFC
3D1,13.11,0,dlPFC
3T5,5.12,0,dlPFC
3T5,5.12,0,dlPFC
5R4,6.25,0,dlPFC
2T2,4.09,0,dlPFC
2T2,4.09,0,dlPFC
2T2,4.09,0,dlPFC
2F2,11.04,0,dlPFC
7M4,8.15,0,dlPFC
97R,17.93,0,dlPFC
8B3,13.09,0,dlPFC
42T,15.96,0,dlPFC
91O,15.86,0,dlPFC
46Z,13.97,0,dlPFC
31S,17.0,0,dlPFC
4J6,7.15,0,dlPFC
4J6,7.15,0,dlPFC
4J6,7.15,0,dlPFC
6L4,8.2,0,dlPFC
41N,16.74,0,dlPFC
2I1,10.27,0,dlPFC
2I1,10.27,0,dlPFC
2V1,4.3,0,dlPFC
2V1,4.3,0,dlPFC
77V,16.15,0,dlPFC
0G3,9.1,0,dlPFC
56K,19.93,0,dlPFC
56K,19.93,0,dlPFC
56K,19.93,0,dlPFC
0B9,12.11,0,dlPFC
6O7,6.03,0,dlPFC
6D9,13.11,0,dlPFC
3R7,3.32,0,dlPFC
37V,15.07,0,dlPFC
56R,14.95,0,dlPFC
56R,14.95,0,dlPFC
55R,14.97,0,dlPFC
1G8,7.88,0,dlPFC
1G8,7.88,0,dlPFC
2T2,4.09,0,dlPFC
2F2,11.04,0,dlPFC
97R,17.93,0,dlPFC
42T,15.96,0,dlPFC
42T,15.96,0,dlPFC
2T6,5.18,0,dlPFC
31S,17.0,0,dlPFC
4Q6,3.22,0,dlPFC
8H2,10.13,0,dlPFC
31S,17.0,0,dlPFC
5H6,11.03,0,dlPFC
5H6,11.03,0,dlPFC
6L4,8.2,0,dlPFC
6L4,8.2,0,dlPFC
41N,16.74,0,dlPFC
41N,16.74,0,dlPFC
2V1,4.3,0,dlPFC
77V,16.15,0,dlPFC
56K,19.93,0,dlPFC
56K,19.93,0,dlPFC
8C9,12.12,0,dlPFC
2C6,14.03,0,dlPFC
2C6,14.03,0,dlPFC
3E4,11.99,0,dlPFC
3E4,11.99,0,dlPFC
1P5,6.21,0,dlPFC
2S6,3.17,0,dlPFC
4S3,3.18,0,dlPFC
82V,16.01,0,dlPFC
56K,19.93,0,dlPFC
3R7,3.32,0,dlPFC
3K1,9.01,0,dlPFC
56R,14.95,0,dlPFC
56R,14.95,0,dlPFC
56R,14.95,0,dlPFC
1G8,7.88,0,dlPFC
2F2,11.04,0,dlPFC
2T6,5.18,0,dlPFC
46Z,13.97,0,dlPFC
31S,17.0,0,dlPFC
4J6,7.15,0,dlPFC
41N,16.74,0,dlPFC
2V1,4.3,0,dlPFC
0G3,9.1,0,dlPFC
0G3,9.1,0,dlPFC
0G3,9.1,0,dlPFC
2C6,14.03,0,dlPFC
1P5,6.21,0,dlPFC
1P5,6.21,0,dlPFC
1P5,6.21,0,dlPFC
6L4,8.2,0,dlPFC
56K,19.93,0,dlPFC
43N,17.0,0,dlPFC
6D9,13.11,0,dlPFC
8M0,8.12,0,dlPFC
56R,14.95,0,dlPFC
55R,14.97,0,dlPFC
3D1,13.11,0,dlPFC
3T5,5.12,0,dlPFC
98V,16.03,0,dlPFC
98V,16.03,0,dlPFC
97R,17.93,0,dlPFC
97R,17.93,0,dlPFC
91O,15.86,0,dlPFC
4Q6,3.22,0,dlPFC
5H6,11.03,0,dlPFC
4J6,7.15,0,dlPFC
2I1,10.27,0,dlPFC
77V,16.15,0,dlPFC
0G3,9.1,0,dlPFC
0G3,9.1,0,dlPFC
0G3,9.1,0,dlPFC
43N,17.0,0,dlPFC
43N,17.0,0,dlPFC
8C9,12.12,0,dlPFC
8C9,12.12,0,dlPFC
1P5,6.21,0,dlPFC
4S3,3.18,0,dlPFC
4S3,3.18,0,dlPFC
4J6,7.15,0,dlPFC
6L4,8.2,0,dlPFC
56K,19.93,0,dlPFC
56K,19.93,0,dlPFC
37V,15.07,0,dlPFC
8M0,8.12,0,dlPFC
55R,14.97,0,dlPFC
3D1,13.11,0,dlPFC
1G8,7.88,0,dlPFC
97R,17.93,0,dlPFC
46Z,13.97,0,dlPFC
46Z,13.97,0,dlPFC
41N,16.74,0,dlPFC
1L1,8.17,0,dlPFC
77V,16.15,0,dlPFC
77V,16.15,0,dlPFC
0G3,9.1,0,dlPFC
0G3,9.1,0,dlPFC
43N,17.0,0,dlPFC
43N,17.0,0,dlPFC
8C9,12.12,0,dlPFC
1T9,4.11,0,dlPFC
2C6,14.03,0,dlPFC
3E4,11.99,0,dlPFC
43N,17.0,0,dlPFC
0B9,12.11,0,dlPFC
3R7,3.32,0,dlPFC
3R7,3.32,0,dlPFC
37V,15.07,0,dlPFC
8M0,8.12,0,dlPFC
56R,14.95,0,dlPFC
55R,14.97,0,dlPFC
55R,14.97,0,dlPFC
55R,14.97,0,dlPFC
3D1,13.11,0,dlPFC
3T5,5.12,0,dlPFC
5R4,6.25,0,dlPFC
2T2,4.09,0,dlPFC
97R,17.93,0,dlPFC
8B3,13.09,0,dlPFC
2T6,5.18,0,dlPFC
4J6,7.15,0,dlPFC
6L4,8.2,0,dlPFC
2I1,10.27,0,dlPFC
2V1,4.3,0,dlPFC
56K,19.93,0,dlPFC
0B9,12.11,0,dlPFC
6O7,6.03,0,dlPFC
6O7,6.03,0,dlPFC
1P5,6.21,0,dlPFC
1P5,6.21,0,dlPFC
77V,16.15,0,dlPFC
82V,16.01,0,dlPFC
37V,15.07,0,dlPFC
37V,15.07,0,dlPFC
8M0,8.12,0,dlPFC
3D1,13.11,0,dlPFC
8H2,10.13,0,dlPFC
2T2,4.09,0,dlPFC
2F2,11.04,0,dlPFC
7M4,8.15,0,dlPFC
97R,17.93,0,dlPFC
42T,15.96,0,dlPFC
42T,15.96,0,dlPFC
31S,17.0,0,dlPFC
4Q6,3.22,0,dlPFC
41N,16.74,0,dlPFC
41N,16.74,0,dlPFC
41N,16.74,0,dlPFC
2I1,10.27,0,dlPFC
1L1,8.17,0,dlPFC
2V1,4.3,0,dlPFC
77V,16.15,0,dlPFC
77V,16.15,0,dlPFC
7F0,11.2,0,dlPFC
82V,16.01,0,dlPFC
82V,16.01,0,dlPFC
1T9,4.11,0,dlPFC
3E4,11.99,0,dlPFC
3E4,11.99,0,dlPFC
2Q0,3.21,0,dlPFC
2S6,3.17,0,dlPFC
4J6,7.15,0,dlPFC
6D9,13.11,0,dlPFC
3R7,3.32,0,dlPFC
37V,15.07,0,dlPFC
8M0,8.12,0,dlPFC
3K1,9.01,0,dlPFC
55R,14.97,0,dlPFC
3D1,13.11,0,dlPFC
1G8,7.88,0,dlPFC
1G8,7.88,0,dlPFC
8H2,10.13,0,dlPFC
5R4,6.25,0,dlPFC
2T2,4.09,0,dlPFC
2T2,4.09,0,dlPFC
42T,15.96,0,dlPFC
46Z,13.97,0,dlPFC
2V1,4.3,0,dlPFC
77V,16.15,0,dlPFC
77V,16.15,0,dlPFC
0G3,9.1,0,dlPFC
0G3,9.1,0,dlPFC
56K,19.93,0,dlPFC
43N,17.0,0,dlPFC
43N,17.0,0,dlPFC
8C9,12.12,0,dlPFC
3E4,11.99,0,dlPFC
3E4,11.99,0,dlPFC
4S3,3.18,0,dlPFC
4S3,3.18,0,dlPFC
6D9,13.11,0,dlPFC
3R7,3.32,0,dlPFC
3K1,9.01,0,dlPFC
56R,14.95,0,dlPFC
56R,14.95,0,dlPFC
1G8,7.88,0,dlPFC
1G8,7.88,0,dlPFC
5R4,6.25,0,dlPFC
5R4,6.25,0,dlPFC
50P,15.59,0,dlPFC
7M4,8.15,0,dlPFC
97R,17.93,0,dlPFC
8B3,13.09,0,dlPFC
42T,15.96,0,dlPFC
46Z,13.97,0,dlPFC
4Q6,3.22,0,dlPFC
4J6,7.15,0,dlPFC
6L4,8.2,0,dlPFC
41N,16.74,0,dlPFC
2I1,10.27,0,dlPFC
2V1,4.3,0,dlPFC
77V,16.15,0,dlPFC
82V,16.01,0,dlPFC
56K,19.93,0,dlPFC
43N,17.0,0,dlPFC
8C9,12.12,0,dlPFC
1T9,4.11,0,dlPFC
1P5,6.21,0,dlPFC
4S3,3.18,0,dlPFC
0B9,12.11,0,dlPFC
3R7,3.32,0,dlPFC
8M0,8.12,0,dlPFC
3D1,13.11,0,dlPFC
3T5,5.12,0,dlPFC
3T5,5.12,0,dlPFC
2T2,4.09,0,dlPFC
2T2,4.09,0,dlPFC
98V,16.03,0,dlPFC
7M4,8.15,0,dlPFC
7M4,8.15,0,dlPFC
31S,17.0,0,dlPFC
6L4,8.2,0,dlPFC
41N,16.74,0,dlPFC
1L1,8.17,0,dlPFC
2V1,4.3,0,dlPFC
2V1,4.3,0,dlPFC
0G3,9.1,0,dlPFC
74K,20.81,0,dlPFC
74K,20.81,0,dlPFC
56K,19.93,0,dlPFC
43N,17.0,0,dlPFC
8C9,12.12,0,dlPFC
2S6,3.17,0,dlPFC
4S3,3.18,0,dlPFC
77V,16.15,0,dlPFC
43N,17.0,0,dlPFC
3R7,3.32,0,dlPFC
56R,14.95,0,dlPFC
55R,14.97,0,dlPFC
3D1,13.11,0,dlPFC
3T5,5.12,0,dlPFC
2T6,5.18,0,dlPFC
8H2,10.13,0,dlPFC
2V1,4.3,0,dlPFC
77V,16.15,0,dlPFC
43N,17.0,0,dlPFC
4S3,3.18,0,dlPFC
77V,16.15,0,dlPFC
3R7,3.32,0,dlPFC
37V,15.07,0,dlPFC
55R,14.97,0,dlPFC
7M4,8.15,0,dlPFC
7M4,8.15,0,dlPFC
97R,17.93,0,dlPFC
42T,15.96,0,dlPFC
42T,15.96,0,dlPFC
31S,17.0,0,dlPFC
5H6,11.03,0,dlPFC
5H6,11.03,0,dlPFC
41N,16.74,0,dlPFC
2I1,10.27,0,dlPFC
77V,16.15,0,dlPFC
0G3,9.1,0,dlPFC
74K,20.81,0,dlPFC
1T9,4.11,0,dlPFC
2C6,14.03,0,dlPFC
2C6,14.03,0,dlPFC
3E4,11.99,0,dlPFC
3E4,11.99,0,dlPFC
3E4,11.99,0,dlPFC
77V,16.15,0,dlPFC
3R7,3.32,0,dlPFC
56R,14.95,0,dlPFC
55R,14.97,0,dlPFC
3D1,13.11,0,dlPFC
98V,16.03,0,dlPFC
98V,16.03,0,dlPFC
2F2,11.04,0,dlPFC
7M4,8.15,0,dlPFC
31S,17.0,0,dlPFC
4J6,7.15,0,dlPFC
2I1,10.27,0,dlPFC
74K,20.81,0,dlPFC
74K,20.81,0,dlPFC
56K,19.93,0,dlPFC
8C9,12.12,0,dlPFC
1T9,4.11,0,dlPFC
2C6,14.03,0,dlPFC
4S3,3.18,0,dlPFC
82V,16.01,0,dlPFC
6D9,13.11,0,dlPFC
8M0,8.12,0,dlPFC
3K1,9.01,0,dlPFC
56R,14.95,0,dlPFC
55R,14.97,0,dlPFC
3T5,5.12,0,dlPFC
3T5,5.12,0,dlPFC
3T5,5.12,0,dlPFC
1G8,7.88,0,dlPFC
8H2,10.13,0,dlPFC
8H2,10.13,0,dlPFC
5R4,6.25,0,dlPFC
2T2,4.09,0,dlPFC
2F2,11.04,0,dlPFC
50P,15.59,0,dlPFC
7M4,8.15,0,dlPFC
42T,15.96,0,dlPFC
42T,15.96,0,dlPFC
31S,17.0,0,dlPFC
91O,15.86,0,dlPFC
41N,16.74,0,dlPFC
2I1,10.27,0,dlPFC
2V1,4.3,0,dlPFC
2V1,4.3,0,dlPFC
43N,17.0,0,dlPFC
43N,17.0,0,dlPFC
1T9,4.11,0,dlPFC
1T9,4.11,0,dlPFC
2C6,14.03,0,dlPFC
3E4,11.99,0,dlPFC
3E4,11.99,0,dlPFC
2Q0,3.21,0,dlPFC
2S6,3.17,0,dlPFC
2S6,3.17,0,dlPFC
2S6,3.17,0,dlPFC
43N,17.0,0,dlPFC
43N,17.0,0,dlPFC
6D9,13.11,0,dlPFC
6D9,13.11,0,dlPFC
6D9,13.11,0,dlPFC
37V,15.07,0,dlPFC
2S2,6.31,0,dlPFC
3K1,9.01,0,dlPFC
3K1,9.01,0,dlPFC
56R,14.95,0,dlPFC
56R,14.95,0,dlPFC
1G8,7.88,0,dlPFC
5R4,6.25,0,dlPFC
2F2,11.04,0,dlPFC
7M4,8.15,0,dlPFC
7M4,8.15,0,dlPFC
42T,15.96,0,dlPFC
91O,15.86,0,dlPFC
8H2,10.13,0,dlPFC
4J6,7.15,0,dlPFC
2I1,10.27,0,dlPFC
74K,20.81,0,dlPFC
82V,16.01,0,dlPFC
43N,17.0,0,dlPFC
8C9,12.12,0,dlPFC
2C6,14.03,0,dlPFC
77V,16.15,0,dlPFC
82V,16.01,0,dlPFC
6D9,13.11,0,dlPFC
8M0,8.12,0,dlPFC
8M0,8.12,0,dlPFC
3K1,9.01,0,dlPFC
55R,14.97,0,dlPFC
3T5,5.12,0,dlPFC
8H2,10.13,0,dlPFC
2F2,11.04,0,dlPFC
7M4,8.15,0,dlPFC
7M4,8.15,0,dlPFC
42T,15.96,0,dlPFC
2T6,5.18,0,dlPFC
31S,17.0,0,dlPFC
4Q6,3.22,0,dlPFC
41N,16.74,0,dlPFC
2I1,10.27,0,dlPFC
2V1,4.3,0,dlPFC
74K,20.81,0,dlPFC
82V,16.01,0,dlPFC
82V,16.01,0,dlPFC
43N,17.0,0,dlPFC
6O7,6.03,0,dlPFC
3E4,11.99,0,dlPFC
6L4,8.2,0,dlPFC
3R7,3.32,0,dlPFC
37V,15.07,0,dlPFC
8M0,8.12,0,dlPFC
56R,14.95,0,dlPFC
3T5,5.12,0,dlPFC
5R4,6.25,0,dlPFC
5R4,6.25,0,dlPFC
8B3,13.09,0,dlPFC
42T,15.96,0,dlPFC
31S,17.0,0,dlPFC
31S,17.0,0,dlPFC
5H6,11.03,0,dlPFC
2V1,4.3,0,dlPFC
77V,16.15,0,dlPFC
77V,16.15,0,dlPFC
0G3,9.1,0,dlPFC
56K,19.93,0,dlPFC
56K,19.93,0,dlPFC
43N,17.0,0,dlPFC
8C9,12.12,0,dlPFC
2Q0,3.21,0,dlPFC
2S6,3.17,0,dlPFC
5H6,11.03,0,dlPFC
43N,17.0,0,dlPFC
6D9,13.11,0,dlPFC
6D9,13.11,0,dlPFC
55R,14.97,0,dlPFC
55R,14.97,0,dlPFC
1G8,7.88,0,dlPFC
8H2,10.13,0,dlPFC
8H2,10.13,0,dlPFC
5R4,6.25,0,dlPFC
2T2,4.09,0,dlPFC
2T2,4.09,0,dlPFC
97R,17.93,0,dlPFC
8B3,13.09,0,dlPFC
31S,17.0,0,dlPFC
8H2,10.13,0,dlPFC
4J6,7.15,0,dlPFC
41N,16.74,0,dlPFC
41N,16.74,0,dlPFC
2I1,10.27,0,dlPFC
0G3,9.1,0,dlPFC
0G3,9.1,0,dlPFC
56K,19.93,0,dlPFC
56K,19.93,0,dlPFC
8C9,12.12,0,dlPFC
1P5,6.21,0,dlPFC
2S6,3.17,0,dlPFC
6D9,13.11,0,dlPFC
3K1,9.01,0,dlPFC
3D1,13.11,0,dlPFC
3T5,5.12,0,dlPFC
3T5,5.12,0,dlPFC
3T5,5.12,0,dlPFC
8H2,10.13,0,dlPFC
8H2,10.13,0,dlPFC
5R4,6.25,0,dlPFC
2F2,11.04,0,dlPFC
7M4,8.15,0,dlPFC
7M4,8.15,0,dlPFC
97R,17.93,0,dlPFC
97R,17.93,0,dlPFC
42T,15.96,0,dlPFC
31S,17.0,0,dlPFC
91O,15.86,0,dlPFC
8H2,10.13,0,dlPFC
5H6,11.03,0,dlPFC
2I1,10.27,0,dlPFC
77V,16.15,0,dlPFC
82V,16.01,0,dlPFC
56K,19.93,0,dlPFC
1T9,4.11,0,dlPFC
2S6,3.17,0,dlPFC
5H6,11.03,0,dlPFC
77V,16.15,0,dlPFC
77V,16.15,0,dlPFC
3R7,3.32,0,dlPFC
37V,15.07,0,dlPFC
3K1,9.01,0,dlPFC
56R,14.95,0,dlPFC
1G8,7.88,0,dlPFC
8H2,10.13,0,dlPFC
98V,16.03,0,dlPFC
7M4,8.15,0,dlPFC
97R,17.93,0,dlPFC
8B3,13.09,0,dlPFC
8B3,13.09,0,dlPFC
91O,15.86,0,dlPFC
4Q6,3.22,0,dlPFC
4Q6,3.22,0,dlPFC
4J6,7.15,0,dlPFC
4J6,7.15,0,dlPFC
2V1,4.3,0,dlPFC
82V,16.01,0,dlPFC
82V,16.01,0,dlPFC
56K,19.93,0,dlPFC
8C9,12.12,0,dlPFC
3E4,11.99,0,dlPFC
2S6,3.17,0,dlPFC
2S6,3.17,0,dlPFC
0B9,12.11,0,dlPFC
2S2,6.31,0,dlPFC
2S2,6.31,0,dlPFC
2S2,6.31,0,dlPFC
2S2,6.31,0,dlPFC
3D1,13.11,0,dlPFC
1G8,7.88,0,dlPFC
8H2,10.13,0,dlPFC
5R4,6.25,0,dlPFC
2F2,11.04,0,dlPFC
2F2,11.04,0,dlPFC
7M4,8.15,0,dlPFC
7M4,8.15,0,dlPFC
2T6,5.18,0,dlPFC
91O,15.86,0,dlPFC
91O,15.86,0,dlPFC
4J6,7.15,0,dlPFC
4J6,7.15,0,dlPFC
4J6,7.15,0,dlPFC
6L4,8.2,0,dlPFC
56K,19.93,0,dlPFC
1T9,4.11,0,dlPFC
2C6,14.03,0,dlPFC
2Q0,3.21,0,dlPFC
2S6,3.17,0,dlPFC
2S6,3.17,0,dlPFC
5H6,11.03,0,dlPFC
2V1,4.3,0,dlPFC
82V,16.01,0,dlPFC
56K,19.93,0,dlPFC
37V,15.07,0,dlPFC
3D1,13.11,0,dlPFC
3D1,13.11,0,dlPFC
3T5,5.12,0,dlPFC
3T5,5.12,0,dlPFC
8H2,10.13,0,dlPFC
8H2,10.13,0,dlPFC
8H2,10.13,0,dlPFC
5R4,6.25,0,dlPFC
7M4,8.15,0,dlPFC
42T,15.96,0,dlPFC
42T,15.96,0,dlPFC
8H2,10.13,0,dlPFC
4J6,7.15,0,dlPFC
6L4,8.2,0,dlPFC
1L1,8.17,0,dlPFC
77V,16.15,0,dlPFC
74K,20.81,0,dlPFC
82V,16.01,0,dlPFC
43N,17.0,0,dlPFC
8C9,12.12,0,dlPFC
2C6,14.03,0,dlPFC
2C6,14.03,0,dlPFC
3E4,11.99,0,dlPFC
1P5,6.21,0,dlPFC
1P5,6.21,0,dlPFC
2Q0,3.21,0,dlPFC
2V1,4.3,0,dlPFC
6D9,13.11,0,dlPFC
3R7,3.32,0,dlPFC
56R,14.95,0,dlPFC
3T5,5.12,0,dlPFC
1G8,7.88,0,dlPFC
5R4,6.25,0,dlPFC
2F2,11.04,0,dlPFC
2T6,5.18,0,dlPFC
46Z,13.97,0,dlPFC
6L4,8.2,0,dlPFC
6L4,8.2,0,dlPFC
6L4,8.2,0,dlPFC
2V1,4.3,0,dlPFC
77V,16.15,0,dlPFC
74K,20.81,0,dlPFC
1T9,4.11,0,dlPFC
1P5,6.21,0,dlPFC
2S6,3.17,0,dlPFC
4S3,3.18,0,dlPFC
6L4,8.2,0,dlPFC
2V1,4.3,0,dlPFC
77V,16.15,0,dlPFC
82V,16.01,0,dlPFC
6D9,13.11,0,dlPFC
3R7,3.32,0,dlPFC
3R7,3.32,0,dlPFC
37V,15.07,0,dlPFC
37V,15.07,0,dlPFC
1G8,7.88,0,dlPFC
1G8,7.88,0,dlPFC
8H2,10.13,0,dlPFC
8H2,10.13,0,dlPFC
5R4,6.25,0,dlPFC
5R4,6.25,0,dlPFC
2F2,11.04,0,dlPFC
8B3,13.09,0,dlPFC
42T,15.96,0,dlPFC
42T,15.96,0,dlPFC
42T,15.96,0,dlPFC
2T6,5.18,0,dlPFC
46Z,13.97,0,dlPFC
4J6,7.15,0,dlPFC
0G3,9.1,0,dlPFC
56K,19.93,0,dlPFC
56K,19.93,0,dlPFC
56K,19.93,0,dlPFC
6O7,6.03,0,dlPFC
3E4,11.99,0,dlPFC
2Q0,3.21,0,dlPFC
2S6,3.17,0,dlPFC
4S3,3.18,0,dlPFC
0B9,12.11,0,dlPFC
3R7,3.32,0,dlPFC
3R7,3.32,0,dlPFC
56R,14.95,0,dlPFC
56R,14.95,0,dlPFC
56R,14.95,0,dlPFC
56R,14.95,0,dlPFC
1G8,7.88,0,dlPFC
8H2,10.13,0,dlPFC
7M4,8.15,0,dlPFC
7M4,8.15,0,dlPFC
7M4,8.15,0,dlPFC
42T,15.96,0,dlPFC
31S,17.0,0,dlPFC
91O,15.86,0,dlPFC
91O,15.86,0,dlPFC
91O,15.86,0,dlPFC
8H2,10.13,0,dlPFC
31S,17.0,0,dlPFC
5H6,11.03,0,dlPFC
4J6,7.15,0,dlPFC
41N,16.74,0,dlPFC
2V1,4.3,0,dlPFC
0G3,9.1,0,dlPFC
1T9,4.11,0,dlPFC
6O7,6.03,0,dlPFC
6O7,6.03,0,dlPFC
3E4,11.99,0,dlPFC
3E4,11.99,0,dlPFC
2Q0,3.21,0,dlPFC
43N,17.0,0,dlPFC
6D9,13.11,0,dlPFC
3R7,3.32,0,dlPFC
3R7,3.32,0,dlPFC
56R,14.95,0,dlPFC
56R,14.95,0,dlPFC
98V,16.03,0,dlPFC
2F2,11.04,0,dlPFC
7M4,8.15,0,dlPFC
97R,17.93,0,dlPFC
8B3,13.09,0,dlPFC
31S,17.0,0,dlPFC
4Q6,3.22,0,dlPFC
8H2,10.13,0,dlPFC
41N,16.74,0,dlPFC
77V,16.15,0,dlPFC
0G3,9.1,0,dlPFC
56K,19.93,0,dlPFC
43N,17.0,0,dlPFC
3E4,11.99,0,dlPFC
4S3,3.18,0,dlPFC
77V,16.15,0,dlPFC
77V,16.15,0,dlPFC
6D9,13.11,0,dlPFC
8M0,8.12,0,dlPFC
2S2,6.31,0,dlPFC
3K1,9.01,0,dlPFC
56R,14.95,0,dlPFC
56R,14.95,0,dlPFC
56R,14.95,0,dlPFC
55R,14.97,0,dlPFC
1G8,7.88,0,dlPFC
1G8,7.88,0,dlPFC
8H2,10.13,0,dlPFC
5R4,6.25,0,dlPFC
98V,16.03,0,dlPFC
98V,16.03,0,dlPFC
97R,17.93,0,dlPFC
8B3,13.09,0,dlPFC
42T,15.96,0,dlPFC
4Q6,3.22,0,dlPFC
8H2,10.13,0,dlPFC
8H2,10.13,0,dlPFC
4J6,7.15,0,dlPFC
6L4,8.2,0,dlPFC
6L4,8.2,0,dlPFC
6L4,8.2,0,dlPFC
41N,16.74,0,dlPFC
41N,16.74,0,dlPFC
2V1,4.3,0,dlPFC
77V,16.15,0,dlPFC
77V,16.15,0,dlPFC
0G3,9.1,0,dlPFC
0G3,9.1,0,dlPFC
0G3,9.1,0,dlPFC
56K,19.93,0,dlPFC
56K,19.93,0,dlPFC
0B9,12.11,0,dlPFC
3E4,11.99,0,dlPFC
56K,19.93,0,dlPFC
0B9,12.11,0,dlPFC
2S2,6.31,0,dlPFC
3K1,9.01,0,dlPFC
56R,14.95,0,dlPFC
8H2,10.13,0,dlPFC
2T2,4.09,0,dlPFC
2F2,11.04,0,dlPFC
7M4,8.15,0,dlPFC
7M4,8.15,0,dlPFC
97R,17.93,0,dlPFC
42T,15.96,0,dlPFC
31S,17.0,0,dlPFC
4J6,7.15,0,dlPFC
6L4,8.2,0,dlPFC
2V1,4.3,0,dlPFC
2V1,4.3,0,dlPFC
82V,16.01,0,dlPFC
43N,17.0,0,dlPFC
8C9,12.12,0,dlPFC
3E4,11.99,0,dlPFC
3E4,11.99,0,dlPFC
1P5,6.21,0,dlPFC
2S6,3.17,0,dlPFC
2S6,3.17,0,dlPFC
4S3,3.18,0,dlPFC
6D9,13.11,0,dlPFC
6D9,13.11,0,dlPFC
2S2,6.31,0,dlPFC
56R,14.95,0,dlPFC
1G8,7.88,0,dlPFC
8H2,10.13,0,dlPFC
5R4,6.25,0,dlPFC
2T2,4.09,0,dlPFC
2F2,11.04,0,dlPFC
97R,17.93,0,dlPFC
8B3,13.09,0,dlPFC
8B3,13.09,0,dlPFC
31S,17.0,0,dlPFC
31S,17.0,0,dlPFC
8H2,10.13,0,dlPFC
5H6,11.03,0,dlPFC
4J6,7.15,0,dlPFC
41N,16.74,0,dlPFC
2V1,4.3,0,dlPFC
0G3,9.1,0,dlPFC
56K,19.93,0,dlPFC
56K,19.93,0,dlPFC
8C9,12.12,0,dlPFC
3E4,11.99,0,dlPFC
82V,16.01,0,dlPFC
6D9,13.11,0,dlPFC
6D9,13.11,0,dlPFC
6D9,13.11,0,dlPFC
8M0,8.12,0,dlPFC
8H2,10.13,0,dlPFC
5R4,6.25,0,dlPFC
98V,16.03,0,dlPFC
97R,17.93,0,dlPFC
42T,15.96,0,dlPFC
42T,15.96,0,dlPFC
42T,15.96,0,dlPFC
46Z,13.97,0,dlPFC
4Q6,3.22,0,dlPFC
5H6,11.03,0,dlPFC
5H6,11.03,0,dlPFC
4J6,7.15,0,dlPFC
6L4,8.2,0,dlPFC
41N,16.74,0,dlPFC
41N,16.74,0,dlPFC
56K,19.93,0,dlPFC
43N,17.0,0,dlPFC
2C6,14.03,0,dlPFC
2S6,3.17,0,dlPFC
4J6,7.15,0,dlPFC
4J6,7.15,0,dlPFC
4J6,7.15,0,dlPFC
56K,19.93,0,dlPFC
56K,19.93,0,dlPFC
6D9,13.11,0,dlPFC
6D9,13.11,0,dlPFC
8M0,8.12,0,dlPFC
3K1,9.01,0,dlPFC
55R,14.97,0,dlPFC
3D1,13.11,0,dlPFC
3T5,5.12,0,dlPFC
1G8,7.88,0,dlPFC
8B3,13.09,0,dlPFC
42T,15.96,0,dlPFC
46Z,13.97,0,dlPFC
41N,16.74,0,dlPFC
56K,19.93,0,dlPFC
56K,19.93,0,dlPFC
43N,17.0,0,dlPFC
1P5,6.21,0,dlPFC
37V,15.07,0,dlPFC
8M0,8.12,0,dlPFC
8M0,8.12,0,dlPFC
2S2,6.31,0,dlPFC
3K1,9.01,0,dlPFC
56R,14.95,0,dlPFC
55R,14.97,0,dlPFC
3D1,13.11,0,dlPFC
3D1,13.11,0,dlPFC
3T5,5.12,0,dlPFC
5R4,6.25,0,dlPFC
98V,16.03,0,dlPFC
2F2,11.04,0,dlPFC
2F2,11.04,0,dlPFC
97R,17.93,0,dlPFC
8B3,13.09,0,dlPFC
31S,17.0,0,dlPFC
46Z,13.97,0,dlPFC
6L4,8.2,0,dlPFC
6L4,8.2,0,dlPFC
2V1,4.3,0,dlPFC
77V,16.15,0,dlPFC
0G3,9.1,0,dlPFC
74K,20.81,0,dlPFC
0B9,12.11,0,dlPFC
0B9,12.11,0,dlPFC
8C9,12.12,0,dlPFC
8C9,12.12,0,dlPFC
6O7,6.03,0,dlPFC
2S6,3.17,0,dlPFC
4S3,3.18,0,dlPFC
77V,16.15,0,dlPFC
2S2,6.31,0,dlPFC
